Book-Title,Book-Rating,ISBN,Publisher,Image,Genre
The curious affair of the third dog (An Inspector Henry Tibbett mystery),3,30095344,"Holt, Rinehart, and Winston",http://images.amazon.com/images/P/0030095344.01.MZZZZZZZ.jpg,Novel
We the Living,3,451187849,Signet Book,http://images.amazon.com/images/P/0451187849.01.MZZZZZZZ.jpg,self-help
The Dragonlance Chronicles/Dragons of Autumn Twilight/Dragons of Winter Night/Dragons of Spring Dawning (Collectors Edition),1,880386525,Wizards of the Coast,http://images.amazon.com/images/P/0880386525.01.MZZZZZZZ.jpg,fantasy
The Prince of Tides,0,553268880,Bantam Books,http://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg,Mystery
The Loman Family Picnic,0,1568650973,Doubleday Books,http://images.amazon.com/images/P/1568650973.01.MZZZZZZZ.jpg,Mystery
The Stillest Day,1,879518944,Overlook Press,http://images.amazon.com/images/P/0879518944.01.MZZZZZZZ.jpg,Mystery
L'Homme des deux tribus,4,226401654X,Editions 10/18,http://images.amazon.com/images/P/226401654X.01.MZZZZZZZ.jpg,Sci-Fi
The White Dragon (Dragonriders of Pern Vol 3),1,345341678,Del Rey,http://images.amazon.com/images/P/0345341678.01.MZZZZZZZ.jpg,fantasy
My Heart Stood Still,1,425181979,Berkley Publishing Group,http://images.amazon.com/images/P/0425181979.01.MZZZZZZZ.jpg,Sci-Fi
The Silmarillion,4,345325818,Del Rey,http://images.amazon.com/images/P/0345325818.01.MZZZZZZZ.jpg,Mystery
Family Dancing,4,446328456,Warner Books (Mm),http://images.amazon.com/images/P/0446328456.01.MZZZZZZZ.jpg,Mystery
How to Be Good,0,1573221937,Riverhead Books,http://images.amazon.com/images/P/1573221937.01.MZZZZZZZ.jpg,Mystery
Inappropriate Men (Red Dress Ink),2,037325055X,Red Dress Ink,http://images.amazon.com/images/P/037325055X.01.MZZZZZZZ.jpg,Novel
Heir of Sea and Fire #02,4,345334299,Del Rey Books,http://images.amazon.com/images/P/0345334299.01.MZZZZZZZ.jpg,Sci-Fi
Murder on St. Mark's Place (Gaslight Mysteries),4,425173615,Berkley Publishing Group,http://images.amazon.com/images/P/0425173615.01.MZZZZZZZ.jpg,fiction
King of the Murgos (Malloreon (Paperback Random House)),5,345358805,Del Rey Books,http://images.amazon.com/images/P/0345358805.01.MZZZZZZZ.jpg,self-help
Passport to Russian (Berlitz Travel Companions),2,451172000,Signet Book,http://images.amazon.com/images/P/0451172000.01.MZZZZZZZ.jpg,self-help
The Beast: A Journey Through Depression,2,452276950,Plume Books,http://images.amazon.com/images/P/0452276950.01.MZZZZZZZ.jpg,Sci-Fi
Ishmael: An Adventure of the Mind and Spirit,1,553375407,Bantam,http://images.amazon.com/images/P/0553375407.01.MZZZZZZZ.jpg,Sci-Fi
Tough Cookie,1,553578308,Bantam Books,http://images.amazon.com/images/P/0553578308.01.MZZZZZZZ.jpg,fantasy
Slow Waltz in Cedar Bend,0,446601640,Warner Books,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg,Sci-Fi
Lost in a Good Book: A Thursday Next Novel,5,670031909,Viking Books,http://images.amazon.com/images/P/0670031909.01.MZZZZZZZ.jpg,Mystery
A Thousand Country Roads,1,446613061,Warner Books,http://images.amazon.com/images/P/0446613061.01.MZZZZZZZ.jpg,self-help
Merlin,5,310205069,Zondervan Publishing Company,http://images.amazon.com/images/P/0310205069.01.MZZZZZZZ.jpg,fiction
Angel Landing,4,425139522,Berkley Publishing Group,http://images.amazon.com/images/P/0425139522.01.MZZZZZZZ.jpg,Novel
Harriet the Spy,5,64406601,HarperTrophy,http://images.amazon.com/images/P/0064406601.01.MZZZZZZZ.jpg,Novel
Dead Sleep,5,451206525,Signet Book,http://images.amazon.com/images/P/0451206525.01.MZZZZZZZ.jpg,fiction
Going Home,0,671749412,Pocket,http://images.amazon.com/images/P/0671749412.01.MZZZZZZZ.jpg,self-help
Children of the Flames: Dr. Josef Mengele and the Untold Story of the Twins of Auschwitz,0,688096956,Harpercollins,http://images.amazon.com/images/P/0688096956.01.MZZZZZZZ.jpg,Sci-Fi
Separate Beds,4,515090379,Jove Books,http://images.amazon.com/images/P/0515090379.01.MZZZZZZZ.jpg,fantasy
Tender at the Bone: Growing Up at the Table,3,767903382,Broadway Books,http://images.amazon.com/images/P/0767903382.01.MZZZZZZZ.jpg,fantasy
Closing Arguments (Ballantine Reader's Circle),4,449907503,Ballantine Books,http://images.amazon.com/images/P/0449907503.01.MZZZZZZZ.jpg,Novel
Ring! Ring! (Sound Board Books ,3,861129679,1993,Brimax Books Ltd,Sci-Fi
Howards End (Vintage International),2,679722556,Vintage Books USA,http://images.amazon.com/images/P/0679722556.01.MZZZZZZZ.jpg,Sci-Fi
Web Style Guide: Basic Design Principles for Creating Web Sites,4,300076754,Yale University Press,http://images.amazon.com/images/P/0300076754.01.MZZZZZZZ.jpg,Sci-Fi
Shinju,0,61009504,HarperTorch,http://images.amazon.com/images/P/0061009504.01.MZZZZZZZ.jpg,Sci-Fi
"Vision of the Future (Star Wars : the Hand of Thrawn/Timothy Zahn, No. 2)",0,553100351,Bantam,http://images.amazon.com/images/P/0553100351.01.MZZZZZZZ.jpg,Novel
The Magician's Assistant,0,156006219,Harvest Books,http://images.amazon.com/images/P/0156006219.01.MZZZZZZZ.jpg,Sci-Fi
A Gift of Love,0,671536621,Pocket Books,http://images.amazon.com/images/P/0671536621.01.MZZZZZZZ.jpg,fiction
Me Talk Pretty One Day,1,316776963,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,Mystery
The Body in the Transept (Dorothy Martin Mysteries (Paperback)),3,61011339,HarperTorch,http://images.amazon.com/images/P/0061011339.01.MZZZZZZZ.jpg,fantasy
The Presence,3,449002411,Ballantine Books,http://images.amazon.com/images/P/0449002411.01.MZZZZZZZ.jpg,fiction
"Man from Mundania (Xanth Trilogy, No 12)",1,380752891,Harper Mass Market Paperbacks,http://images.amazon.com/images/P/0380752891.01.MZZZZZZZ.jpg,fantasy
Point of Origin,3,425169863,Berkley Publishing Group,http://images.amazon.com/images/P/0425169863.01.MZZZZZZZ.jpg,Sci-Fi
"Consenting Adults: Or, the Duchess Will Be Furious : A Novel",0,316181846,Little Brown &amp, Co,fantasy
A Time to Kill,4,440211727,Dell,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,self-help
Peter Pan Syndrome: Men Who Have Never Grown Up,3,380688905,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380688905.01.MZZZZZZZ.jpg,fiction
The Discovery of Heaven,3,140239375,Penguin Books,http://images.amazon.com/images/P/0140239375.01.MZZZZZZZ.jpg,fiction
Rebel Baron,1,843952423,Leisure Books,http://images.amazon.com/images/P/0843952423.01.MZZZZZZZ.jpg,fiction
The Lost Get-Back Boogie,5,786889349,Hyperion,http://images.amazon.com/images/P/0786889349.01.MZZZZZZZ.jpg,self-help
The House in Thornton Wood (Candleglow),0,505524775,Love Spell,http://images.amazon.com/images/P/0505524775.01.MZZZZZZZ.jpg,Sci-Fi
PÃ?Â©plum,0,2253144894,LGF,http://images.amazon.com/images/P/2253144894.01.MZZZZZZZ.jpg,fiction
Here on Earth,0,425167313,Berkley Publishing Group,http://images.amazon.com/images/P/0425167313.01.MZZZZZZZ.jpg,fiction
All I Really Need to Know,1,080410526X,Ivy Books,http://images.amazon.com/images/P/080410526X.01.MZZZZZZZ.jpg,Novel
Deadly Decisions,4,671028367,Pocket Books,http://images.amazon.com/images/P/0671028367.01.MZZZZZZZ.jpg,fiction
Falling Sideways,2,1841491101,Orbit Book Co.,http://images.amazon.com/images/P/1841491101.01.MZZZZZZZ.jpg,fantasy
Golden Message,0,093706436X,Shrine of the Eternal Breath of Tao,http://images.amazon.com/images/P/093706436X.01.MZZZZZZZ.jpg,Sci-Fi
The Debutantes,1,553408909,Corgi Books,http://images.amazon.com/images/P/0553408909.01.MZZZZZZZ.jpg,Novel
Travels With Charley,1,553129953,Bantam Books (Mm),http://images.amazon.com/images/P/0553129953.01.MZZZZZZZ.jpg,self-help
Skipping Christmas,4,385508417,Doubleday,http://images.amazon.com/images/P/0385508417.01.MZZZZZZZ.jpg,self-help
Life Support,1,671553046,Pocket,http://images.amazon.com/images/P/0671553046.01.MZZZZZZZ.jpg,fantasy
Thieves World World 1,5,441805841,Penguin Putnam~mass,http://images.amazon.com/images/P/0441805841.01.MZZZZZZZ.jpg,fiction
"Echo Of Thunder (Silhouette Intimate Moments, No 238)",2,373072384,Silhouette,http://images.amazon.com/images/P/0373072384.01.MZZZZZZZ.jpg,Sci-Fi
Mirror Dance,2,671876465,Baen,http://images.amazon.com/images/P/0671876465.01.MZZZZZZZ.jpg,fantasy
